molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL579014,Nc1nonc1/C(=N/O)Nc1cccc(Cl)c1,active,86.0
CHEMBL573686,Nc1nonc1/C(=N/O)Nc1ccc(Cl)cc1,intermediate,6000.0
CHEMBL567225,Nc1nonc1/C(=N/O)Nc1cccc(F)c1,active,500.0
CHEMBL565488,Nc1nonc1/C(=N/O)Nc1cccc(Br)c1,active,73.0
CHEMBL565489,Cc1cccc(N/C(=N\O)c2nonc2N)c1,active,550.0
CHEMBL573690,CCc1cccc(N/C(=N\O)c2nonc2N)c1,active,430.0
CHEMBL574139,CC(C)c1cccc(N/C(=N\O)c2nonc2N)c1,intermediate,2100.0
CHEMBL577067,CC(C)(C)c1cccc(N/C(=N\O)c2nonc2N)c1,inactive,25000.0
CHEMBL568287,COc1cccc(N/C(=N\O)c2nonc2N)c1,intermediate,4400.0
CHEMBL584991,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,active,67.0
CHEMBL565923,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,active,59.0
CHEMBL565924,CO/N=C(\Nc1cccc(Cl)c1)c1nonc1N,inactive,20000.0
CHEMBL584992,N=C(Nc1cccc(Cl)c1)c1nonc1N,inactive,20000.0
CHEMBL567441,N/N=C(\Nc1cccc(Cl)c1)c1nonc1N,intermediate,1400.0
CHEMBL567442,Nc1nonc1C(=O)Nc1cccc(Cl)c1,inactive,20000.0
CHEMBL567317,Nc1nonc1C(=S)Nc1cccc(Cl)c1,inactive,20000.0
CHEMBL577494,Nc1nonc1/C(=N/O)Nc1ccccc1,active,490.0
CHEMBL576019,Nc1nonc1/C(=N/O)Nc1ccccc1Cl,intermediate,1500.0
CHEMBL579014,Nc1nonc1/C(=N/O)Nc1cccc(Cl)c1,active,19.0
CHEMBL573686,Nc1nonc1/C(=N/O)Nc1ccc(Cl)cc1,intermediate,2400.0
CHEMBL567225,Nc1nonc1/C(=N/O)Nc1cccc(F)c1,active,270.0
CHEMBL565488,Nc1nonc1/C(=N/O)Nc1cccc(Br)c1,active,17.0
CHEMBL565489,Cc1cccc(N/C(=N\O)c2nonc2N)c1,active,120.0
CHEMBL573690,CCc1cccc(N/C(=N\O)c2nonc2N)c1,active,54.0
CHEMBL574139,CC(C)c1cccc(N/C(=N\O)c2nonc2N)c1,active,225.0
CHEMBL577067,CC(C)(C)c1cccc(N/C(=N\O)c2nonc2N)c1,intermediate,6800.0
CHEMBL568287,COc1cccc(N/C(=N\O)c2nonc2N)c1,active,970.0
CHEMBL584991,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1,active,19.0
CHEMBL565923,Nc1nonc1/C(=N/O)Nc1ccc(F)c(Br)c1,active,12.0
CHEMBL565924,CO/N=C(\Nc1cccc(Cl)c1)c1nonc1N,intermediate,2000.0
CHEMBL584992,N=C(Nc1cccc(Cl)c1)c1nonc1N,intermediate,2000.0
CHEMBL567441,N/N=C(\Nc1cccc(Cl)c1)c1nonc1N,intermediate,2000.0
CHEMBL567442,Nc1nonc1C(=O)Nc1cccc(Cl)c1,intermediate,2000.0
CHEMBL567317,Nc1nonc1C(=S)Nc1cccc(Cl)c1,intermediate,2000.0
CHEMBL585186,Nc1nonc1/C(=N/O)NCc1ccccc1,active,1000.0
CHEMBL570797,SC1Nc2ccccc2S1,inactive,50000.0
CHEMBL570687,SC1Nc2cc(Cl)ccc2S1,inactive,50000.0
CHEMBL571981,CN(C)CSC1Nc2ccccc2S1,inactive,50000.0
CHEMBL571436,Sc1nc(-c2ccccc2)cs1,inactive,50000.0
CHEMBL175296,Nc1nc(-c2ccccc2)cs1,inactive,1000000.0
CHEMBL572245,CN(C)CSc1nc(-c2ccccc2)cs1,inactive,1000000.0
CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,inactive,60000.0
CHEMBL373134,c1cncc(-c2cnn[nH]2)c1,inactive,680000.0
CHEMBL364898,c1cc(-c2cnn[nH]2)ccn1,intermediate,5000.0
CHEMBL33845,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,inactive,70000.0
CHEMBL569380,CCCC[C@H](C)Nc1cc(OC)cc2cccnc12,inactive,50000.0
CHEMBL46723,Oc1cccc2[nH]c3ccccc3c12,inactive,400000.0
CHEMBL572203,Nc1ccc(Nc2ccccc2)cc1,inactive,400000.0
CHEMBL90039,O=C(c1ccccc1)c1ccccc1,inactive,1000000.0
CHEMBL571655,O=C1c2ccccc2-c2ccccc21,inactive,200000.0
CHEMBL571548,OC1c2ccccc2-c2ccccc21,inactive,1000000.0
CHEMBL568768,Nc1ccccc1Oc1ccccc1,inactive,1000000.0
CHEMBL107103,O=C(c1ccccc1)c1cccc(O)c1,inactive,500000.0
CHEMBL3707017,CC(C)/N=C1/C=C(C2=C/C(=N\C(C)C)c3ccccc3C2=O)C(=O)c2ccccc21,active,450.0
CHEMBL3707018,CCC(CC)/N=C1/C=C(C2=C/C(=N\C(CC)CC)c3ccccc3C2=O)C(=O)c2ccccc21,active,520.0
CHEMBL576123,CC1=C/C(=N\C(C)C)c2ccccc2C1=O,active,200.0
CHEMBL449298,Nc1ccc(O)c2ncccc12,intermediate,3000.0
CHEMBL576321,Nc1ccc(O)c2ccccc12,intermediate,6000.0
CHEMBL206816,Oc1ccc(O)c2ccccc12,intermediate,1500.0
CHEMBL310555,Oc1cccc2cccnc12,inactive,750000.0
CHEMBL571660,CCNc1ccc(O)c2ncccc12,inactive,40000.0
CHEMBL571661,CC(C)Nc1ccc(O)c2ncccc12,inactive,15000.0
CHEMBL571240,CNc1ccc(O)c2ccccc12,inactive,12500.0
CHEMBL577335,CCNc1ccc(O)c2ccccc12,inactive,16000.0
CHEMBL572064,CCCNc1ccc(O)c2ccccc12,intermediate,4500.0
CHEMBL578212,CC(C)Nc1ccc(O)c2ccccc12,intermediate,2500.0
CHEMBL568767,CC(C)(C)Nc1ccc(O)c2ccccc12,intermediate,4000.0
CHEMBL571865,CC(C)CNc1ccc(O)c2ccccc12,inactive,25000.0
CHEMBL571980,CCC(CC)Nc1ccc(O)c2ccccc12,intermediate,3500.0
CHEMBL571437,Oc1ccc(NC2CCCCC2)c2ccccc12,inactive,15000.0
CHEMBL569096,Oc1ccc(NCc2ccccc2)c2ccccc12,intermediate,2500.0
CHEMBL569381,Cl.Cl.NCCNc1ccc(O)c2ccccc12,inactive,44000.0
CHEMBL576124,Cl.Cl.NCCCNc1ccc(O)c2ccccc12,intermediate,5000.0
CHEMBL576113,CCN(CC)CCNc1ccc(O)c2ccccc12,intermediate,3000.0
CHEMBL571241,CN(C)c1ccc(O)c2ccccc12,inactive,1000000.0
CHEMBL571242,NCC(=O)Nc1ccc(O)c2ccccc12,inactive,105000.0
CHEMBL572109,C[C@H](N)C(=O)Nc1ccc(O)c2ccccc12,inactive,60000.0
CHEMBL571873,C[C@@H](N)C(=O)Nc1ccc(O)c2ccccc12,inactive,90000.0
CHEMBL570065,N[C@@H](CO)C(=O)Nc1ccc(O)c2ccccc12,inactive,400000.0
CHEMBL577094,O=C(Nc1ccc(O)c2ccccc12)[C@@H]1CCCN1,inactive,200000.0
CHEMBL570066,OCCOc1ccc(O)c2ccccc12,inactive,12500.0
CHEMBL572058,COc1ccc(N)c2ccccc12,intermediate,5500.0
CHEMBL571436,Sc1nc(-c2ccccc2)cs1,intermediate,4000.0
CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,inactive,70000.0
CHEMBL206816,Oc1ccc(O)c2ccccc12,inactive,10000.0
CHEMBL577335,CCNc1ccc(O)c2ccccc12,inactive,50000.0
CHEMBL578212,CC(C)Nc1ccc(O)c2ccccc12,inactive,12500.0
CHEMBL3707017,CC(C)/N=C1/C=C(C2=C/C(=N\C(C)C)c3ccccc3C2=O)C(=O)c2ccccc21,inactive,25000.0
CHEMBL3707018,CCC(CC)/N=C1/C=C(C2=C/C(=N\C(CC)CC)c3ccccc3C2=O)C(=O)c2ccccc21,inactive,50000.0
CHEMBL576123,CC1=C/C(=N\C(C)C)c2ccccc2C1=O,inactive,50000.0
CHEMBL504816,Cn1cc(C[C@H](N)C(=O)O)c2ccccc21,inactive,90000.0
CHEMBL570797,SC1Nc2ccccc2S1,intermediate,7000.0
CHEMBL1224398,Br.CS(=O)(=O)c1ccc(CSC(=N)N)cc1,inactive,100000.0
CHEMBL1224393,Cl.N=C(N)SCc1ccc(C(F)(F)F)cc1,intermediate,2600.0
CHEMBL1224310,Cl.N=C(N)SCc1ccccc1Cl,inactive,10000.0
CHEMBL1224482,Br.N=C(N)SCc1ccc(C(=O)c2ccccc2)cc1,inactive,100000.0
CHEMBL1224394,COc1ccc(CSC(=N)N)cc1.Cl,inactive,52000.0
CHEMBL1224315,Cc1ccc(CSC(=N)N)cc1.Cl,inactive,30000.0
CHEMBL1224483,Br.N=C(N)SCc1ccc(Cl)cc1Cl,active,400.0
CHEMBL1224395,Br.N#Cc1ccc(CSC(=N)N)cc1,inactive,19000.0
CHEMBL1224390,CCc1ccc(CSC(=N)N)cc1.Cl,inactive,16000.0
CHEMBL1224311,Cl.N=C(N)SCc1cccc(Cl)c1,intermediate,4600.0
CHEMBL1224484,Cl.N=C(N)SCc1ccc(Cl)c(Cl)c1,inactive,17000.0
CHEMBL1224396,Cl.N=C(N)SCc1ccc([N+](=O)[O-])cc1,inactive,11000.0
CHEMBL1224391,Br.CC(C)c1ccc(CSC(=N)N)cc1,inactive,100000.0
CHEMBL1224312,Cl.N=C(N)SCc1ccc(Cl)cc1,intermediate,2200.0
CHEMBL1224485,Br.N=C(N)SCCc1ccccc1Cl,inactive,100000.0
CHEMBL1224397,Cl.N=C(N)SCc1ccc(C(=O)O)cc1,inactive,100000.0
CHEMBL1224392,Br.CC(C)(C)c1ccc(CSC(=N)N)cc1,inactive,100000.0
CHEMBL1224313,Cl.N=C(N)SCc1ccc(F)cc1,inactive,13000.0
CHEMBL1224314,Br.N=C(N)SCc1ccc(Br)cc1,intermediate,1300.0
CHEMBL1224309,Cl.N=C(N)SCc1ccccc1,inactive,61000.0
CHEMBL1224486,Br.N=C(N)SCCc1cccc(Cl)c1,inactive,100000.0
CHEMBL1224487,Br.N=C(N)SCCc1ccc(Cl)cc1,inactive,57000.0
